Age,Gender,Retailer,RetailerFreqency,Items,Ethnicity,Education,HouseholdIncome,Q_TotalDuration,SurveyTime,EXP-1,EXP-2,EXP-3,SAT-1,SAT-2,SAT-3,SAT-4,SAT-5,PWOM-1,PWOM-2,PWOM-3,INTENT-1,INTENT-2,INTENT-3,INTENT-4,ENJOY-1,ENJOY-2,ENJOY-3,ENJOY-4
70,Female,Walmart SuperCenter,Frequently,We were getting pictures copied.,White,High School/GED,"$75,000-$100,000",1313,30,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,7
44,Female,yankee candle,Occasionally,candles,White,Graduate/Professional Degree,"Greater than $100,000",602,30,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,2
59,Female,Lands End,Somewhat Frequently,Clothing,White,Bachelor's degree,"Greater than $100,000",153,30.5,6,6,6,6,6,6,6,6,7,7,7,7,1,7,7,5,5,3,1
23,Male,Macy's,Occasionally,,East Asian,Bachelor's degree,"Greater than $100,000",97,30.5,6,5,5,6,6,6,6,5,5,5,5,6,2,3,6,3,5,5,3
67,Male,DOLLAR GENERAL,Frequently,JUICE,Black,High School/GED,"$35,001-$50,000",289,30.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,3,4,2
87,Female,drug mart,Somewhat Frequently,bread,Black,,"$35,001-$50,000",342,31,4,,,,,,4,,6,6,6,6,2,6,6,3,5,6,5
38,Female,Walmart,Frequently,Random stuff ,White,High School/GED,"$20,001-$35,000",210,31,4,4,4,3,3,3,3,3,3,3,2,3,5,4,3,4,5,4,5
59,Female,Michaels Craft Store online,Somewhat Rarely,food coloring,White,Some College/Associates Degree,"Greater than $100,000",159,31.5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,7,2,1,1
72,Female,warmart,Occasionally,foods,Black,High School/GED,"$20,000 less",1039,31.5,7,6,6,7,6,6,6,6,6,6,6,6,2,4,6,4,5,5,4
43,Female,Walmart,Frequently,Walmart,Black,High School/GED,"$20,001-$35,000",126,32,5,5,5,4,4,4,4,4,6,6,6,6,6,6,6,3,4,4,5
20,Female,Five Below,Somewhat Frequently,Christmas Presents,White,Some College/Associates Degree,"$35,001-$50,000",102,32,7,7,6,7,7,7,7,6,7,7,7,7,1,4,7,5,5,3,3
66,Female,macys.com,Rarely,women's cotton pajamas,White,Graduate/Professional Degree,"$50,001-75,000",1010,33.5,7,7,7,7,7,7,7,7,7,7,7,6,1,6,7,2,5,5,3
30,Female,Builder Bear,Occasionally,Raindeers,Black,Graduate/Professional Degree,"Greater than $100,000",1433,34,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,7
72,Female,wayfair,Occasionally,headboard,White,Some College/Associates Degree,"$50,001-75,000",259,36,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,5,7,6,6
77,Female,target,Somewhat Rarely,coat for granddaughter,White,High School/GED,"$35,001-$50,000",170,37.5,7,7,7,7,7,7,7,7,6,6,6,5,1,5,6,4,3,5,2
54,Female,Walmart,Frequently,Groceries,White,Bachelor's degree,"$35,001-$50,000",200,38,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,3,3,1
45,Male,walmart,Frequently,target,White,Some College/Associates Degree,"$35,001-$50,000",537,38.5,7,6,7,7,6,7,7,6,,6,6,7,7,6,7,3,6,6,7
44,Male,Target ,Frequently,Groceries ,Hispanic/Latino,Some College/Associates Degree,"$75,000-$100,000",662,38.5,7,7,7,7,7,7,7,7,7,7,6,7,6,6,7,3,5,2,4
69,Male,Albertsons,Frequently,Groceries,White,Bachelor's degree,"$50,001-75,000",123,39,7,7,7,7,7,7,7,7,7,7,7,7,1,6,7,5,3,2,1
60,Female,Ross,Occasionally,Clothes ,White,Some College/Associates Degree,"$20,000 less",165,41,7,7,7,7,7,7,7,7,6,6,6,6,2,4,6,3,6,5,5
46,Female,Walmart Neighborhood Market ,Somewhat Frequently,groceries,White,Bachelor's degree,"Greater than $100,000",202,42.5,4,4,2,3,3,4,3,4,5,5,5,6,2,5,6,5,3,2,1
62,Female,Kroger,Frequently,Christmas dinner,White,Some College/Associates Degree,"$20,000 less",495,43,7,7,7,7,7,7,7,7,7,6,6,7,1,5,6,3,5,6,4
73,Female,wal-mart,Somewhat Frequently,food,White,,"$50,001-75,000",251,43,1,1,1,1,1,1,1,,1,1,1,1,5,3,6,4,1,4,4
59,Female,ann taylor loft,Occasionally,clothes,White,Bachelor's degree,"$75,000-$100,000",222,43,6,6,6,7,7,6,6,6,6,6,6,6,1,6,7,2,7,7,6
59,Female,amazon,Frequently,amazon,White,Some College/Associates Degree,"Greater than $100,000",176,43.5,7,7,7,7,7,7,7,7,6,6,7,6,6,7,6,6,6,6,7
62,Female,Dillards outlet,Rarely,Dresses,Black,Some College/Associates Degree,"$20,001-$35,000",271,44.5,,,,,7,,7,7,1,1,1,7,1,7,7,5,5,6,2
71,Female,.MyRacehorse.com,Rarely,1 share of racehorse,White,Some College/Associates Degree,"$35,001-$50,000",111,45,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,6,4,3,2
51,Female,Scheels,Occasionally,Gift,White,High School/GED,"Greater than $100,000",270,45.5,,,7,7,7,7,7,7,7,7,7,7,1,6,7,4,6,3,1
61,Female,Home Goods,Somewhat Frequently,Christmas gifts,White,Some College/Associates Degree,"$50,001-75,000",167,45.5,6,6,6,7,7,7,7,7,6,6,6,6,1,7,7,2,6,6,2
65,Female,Penneys,Somewhat Rarely,Coat,White,Bachelor's degree,"$35,001-$50,000",143,46,6,6,6,7,7,7,7,7,7,7,7,5,7,7,7,4,6,6,5
33,Female,target,Frequently,christmas presents,East Asian,High School/GED,"Greater than $100,000",957,47,7,7,7,7,7,7,7,7,7,7,7,7,1,5,7,3,6,6,5
58,Female,Bath and Body Works,Occasionally,Hand Soap,White,Bachelor's degree,"Greater than $100,000",590,47.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,2,7,7,7
55,Female,Germaine Lexus ,Rarely,Suv,White,Bachelor's degree,"Greater than $100,000",134,48,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,5,5,2
71,Female,Tageet,Somewhat Rarely,toys for grandson,White,Some College/Associates Degree,"$50,001-75,000",209,48,5,5,6,5,5,5,5,5,5,5,4,4,3,4,5,1,7,6,5
61,Female,Boscovs,Occasionally,Apparel,White,Bachelor's degree,"Greater than $100,000",215,49,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,4,5,5,4
69,Female,pet smatt,Occasionally,doggie sweater,White,Some College/Associates Degree,"$20,000 less",318,49,6,5,6,7,6,6,6,6,6,6,6,6,2,2,6,6,3,2,2
50,Male,walmart,Frequently,target,White,Bachelor's degree,"Greater than $100,000",153,49.5,6,7,5,5,6,6,5,6,6,5,6,6,5,5,6,6,5,4,6
51,Male,Amazon,Somewhat Frequently,Amazmon,White,Some College/Associates Degree,"$75,000-$100,000",481,50.5,4,6,5,6,5,7,5,6,7,5,6,5,5,6,5,7,6,4,5
67,Female,kohls,Somewhat Frequently,black friday deals,White,,"$50,001-75,000",244,51.5,,1,,7,7,7,7,7,6,6,6,6,1,4,7,2,7,5,3
40,Male,Palmetto State Armory,Somewhat Rarely,Firearm,White,Bachelor's degree,"Greater than $100,000",130,52,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,2,3,2
26,Female,Amazon ,Somewhat Frequently,Don't know ,White,Graduate/Professional Degree,"$75,000-$100,000",151,53.5,7,6,6,7,6,7,7,7,7,6,6,7,7,7,6,6,7,7,6
68,Female,home depot,Frequently,fireplace heater,White,,"$20,001-$35,000",153,53.5,7,7,4,7,7,7,7,4,7,7,7,7,1,7,7,7,1,1,1
61,Female,Kohls,Somewhat Frequently,clothes,White,Graduate/Professional Degree,"$50,001-75,000",214,55,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,3,6,7,5
71,Female,Sprouts,Rarely,lobster,White,,"$35,001-$50,000",162,55.5,3,4,2,2,2,2,2,2,2,2,2,2,7,1,1,5,6,3,1
67,Female,Costco,Somewhat Frequently,Groceries,White,Some College/Associates Degree,"$35,001-$50,000",690,56,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,4,3,3,3
74,Female,Chico's ,Occasionally,Clothes ,White,Bachelor's degree,"$50,001-75,000",198,57,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,3,7,6,3
46,Female,Macys,Frequently,Boots,Hispanic/Latino,Some College/Associates Degree,"Greater than $100,000",117,59,7,6,7,7,7,7,7,7,6,6,6,7,1,5,7,1,7,5,6
42,Female,Sear,Rarely,a washer/dryer,Hispanic/Latino,Bachelor's degree,"Greater than $100,000",136,60,1,1,4,2,1,3,1,1,1,1,1,1,7,1,1,3,1,2,3
39,Female,Trader Joe,Frequently,grocery,East Asian,Bachelor's degree,"$75,000-$100,000",149,61,7,7,7,7,7,7,7,7,6,6,6,6,1,6,6,5,5,7,5
67,Female,Hallmark,Occasionally,Christmas cards and gifts,White,Some College/Associates Degree,"$50,001-75,000",358,63,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,5,7,6,2
58,Female,bed bath beyond,Frequently,coffee mugs,White,Bachelor's degree,"Greater than $100,000",141,63.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,2,5,6,5
60,Female,JoAnn Fabrics,Somewhat Frequently,Things for sewing Christmas gifts,White,High School/GED,"$20,000 less",492,63.5,,,,7,,,,,6,6,6,7,1,7,5,4,6,5,2
54,Female,Staples,Occasionally,shredding services,White,Bachelor's degree,"$20,001-$35,000",188,63.5,7,7,7,7,7,7,7,7,5,5,5,5,1,5,6,5,4,3,2
69,Female,Big Lots,Occasionally,Christmas Presents,White,Some College/Associates Degree,"Greater than $100,000",186,64.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,2,7,7,4
51,Female,amazon.com,Frequently,jewelry,White,High School/GED,"$50,001-75,000",193,64.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,4,7,5
54,Female,BURLINGTON,Somewhat Frequently,CLOTHING,Hispanic/Latino,High School/GED,"$20,000 less",257,66,7,7,7,7,7,7,7,7,7,7,7,6,1,6,7,1,6,7,7
77,Female,IMemories,Rarely,Film transfer,White,Some College/Associates Degree,"$75,000-$100,000",280,66.5,7,7,7,,,,7,7,7,7,7,4,4,6,5,5,1,3,3
63,Male,KingsizeDirect,Occasionally,Clothing,Black,Some College/Associates Degree,"$20,000 less",218,69.5,6,7,7,6,6,6,7,7,6,7,6,7,1,6,7,2,6,5,6
64,Female,CVS,Somewhat Frequently,OTC medicines,White,Some College/Associates Degree,"$50,001-75,000",304,69.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,2,6,6,5
61,Female,Albertsons ,Somewhat Frequently,Prime rib,White,Bachelor's degree,"$75,000-$100,000",375,70,6,6,6,6,6,6,6,6,6,5,6,6,7,5,6,5,4,3,5
44,Male,Cabella's,Occasionally,Outdoor camping supplies.,White,,"Greater than $100,000",633,70.5,7,7,7,7,7,7,7,7,6,7,6,,7,7,7,4,5,5,5
40,Female,walmart,Frequently,christmas presents,White,High School/GED,"$35,001-$50,000",359,71.5,3,4,5,6,6,5,5,4,5,6,6,7,1,4,7,5,5,6,3
25,Male,Speedy janes,Occasionally,Cannabis,Hispanic/Latino,Some College/Associates Degree,"Greater than $100,000",307,72.5,6,6,6,7,7,6,7,7,6,6,6,6,2,5,6,5,5,3,5
64,Female,Costco,Rarely,Groceries,Hispanic/Latino,Graduate/Professional Degree,"$75,000-$100,000",260,73,,7,,,,,7,,6,6,6,6,1,6,6,6,4,5,1
64,Male,Price Chopper,Somewhat Frequently,Groceries,White,High School/GED,"$50,001-75,000",195,75.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,5,2,2,1
49,Female,Walmart,Somewhat Frequently,Christmas presents ,White,Bachelor's degree,"$75,000-$100,000",742,75.5,6,6,7,7,7,7,7,7,6,5,5,6,3,6,7,5,5,5,3
30,Female,macy,Occasionally,good,Hispanic/Latino,Some College/Associates Degree,"$20,000 less",214,76,5,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4
72,Male,Old Navy,Somewhat Rarely,children's clothes,White,Bachelor's degree,"Greater than $100,000",232,77,6,6,6,7,7,7,7,7,6,5,6,5,5,5,6,4,5,4,4
67,Female,K-Mart,Occasionally,going out of business sale,White,,"$75,000-$100,000",111,77,4,4,4,4,4,4,4,4,5,4,4,,1,1,1,2,3,5,2
47,Female,New York & Company,Somewhat Frequently,Clothes,White,Bachelor's degree,"$20,001-$35,000",168,77,,,2,,,1,,,7,7,7,7,1,7,7,7,6,1,1
36,Female,Express,Occasionally,Tops,White,Graduate/Professional Degree,"$50,001-75,000",508,77.5,6,6,7,6,7,6,6,6,6,7,6,7,1,6,7,2,7,6,6
71,Female,Provisions,Somewhat Frequently,"Food, herbs, coffee",White,High School/GED,"Greater than $100,000",156,78,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,2,7,7,3
67,Female,jcpenny,Somewhat Frequently,gifts,Black,High School/GED,"$20,001-$35,000",317,80.5,5,5,4,6,6,6,6,6,6,6,6,6,1,6,6,1,5,5,1
49,Female,Barnes and Noble,Frequently,Baby item,White,Some College/Associates Degree,"$35,001-$50,000",234,83,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,5,7,7,5
61,Female,Betty's Country Store ,Occasionally,Different things ,White,High School/GED,"$20,000 less",206,83.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,7
67,Female,Talbots,Somewhat Frequently,Slacks,White,Bachelor's degree,"$50,001-75,000",306,85.5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,1,1
37,Male,Sam,Occasionally,Clothes,White,Bachelor's degree,"Greater than $100,000",410,88.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7
57,Female,Winco,Occasionally,finding a good buy,White,Some College/Associates Degree,"$20,001-$35,000",255,92.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,4,4,4,4
57,Male,TJ Maxx,Somewhat Frequently,Snacks and toiletries,White,Some College/Associates Degree,"$75,000-$100,000",325,94.5,6,6,5,7,6,6,6,6,6,7,6,7,1,6,7,2,5,3,1
39,Female,K-Mart,Somewhat Rarely,Personal Care Items,White,Graduate/Professional Degree,"$75,000-$100,000",150,94.5,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,5,1,1
56,Female,Zulily ,Somewhat Frequently,Clothes ,White,,"$20,000 less",168,99.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,4,4,6,6
60,Female,nordstrom,Somewhat Frequently,dress,White,Bachelor's degree,"Greater than $100,000",165,102.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,7
66,Female,Belks,Somewhat Rarely,sales,Black,Some College/Associates Degree,"$35,001-$50,000",365,106.5,7,7,7,6,6,6,6,6,6,6,6,6,1,6,6,1,6,6,2
32,Female,walmart,Frequently,everything,White,Bachelor's degree,"Greater than $100,000",542,106.5,7,7,7,7,6,7,7,7,7,6,7,7,6,7,7,7,6,6,7
34,Female,WALMART,Frequently,GROCERIES,White,High School/GED,"$50,001-75,000",132,107,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,7,7,4,1
58,Female,Target,Occasionally,a cabinet,White,Bachelor's degree,"Greater than $100,000",202,109.5,6,5,6,5,5,6,6,6,5,5,5,6,1,5,6,2,7,6,5
69,Female,Neiman Marcus,Somewhat Frequently,apparel,White,Graduate/Professional Degree,"Greater than $100,000",166,113.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,7
59,Male,Publix,Frequently,Food products,White,Some College/Associates Degree,"$20,000 less",227,115,7,7,7,7,7,7,7,7,7,7,7,7,1,5,7,2,5,5,3
60,Female,T.J. Maxx,Somewhat Frequently,Luxury Soap,Hispanic/Latino,Bachelor's degree,"Greater than $100,000",172,117.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,2,7,6,5
